,Mean,Median,Choquet,CFminmin,Sugeno,Hamacher Sugeno,F-Sugeno,Min,Max,CF12,OWA1,OWA2,OWA3,CF,GM,SO,HM
Mean,0.8030092592592591,0.7796296296296297,0.8030092592592591,0.7673611111111112,0.7673611111111112,0.7627314814814815,0.8074074074074075,0.8078703703703705,0.8078703703703705,0.8486111111111111,0.7976851851851852,0.8030092592592591,0.787962962962963,0.7949074074074074,0.8407407407407407,0.8564814814814815,0.844675925925926
Median,0.7495370370370369,0.7333333333333334,0.7546296296296295,0.735648148148148,0.735648148148148,0.7335648148148148,0.7497685185185186,0.7456018518518517,0.7456018518518517,0.75,0.7462962962962962,0.7493055555555556,0.7391203703703703,0.7502314814814814,0.7493055555555556,0.7493055555555556,0.7504629629629631
Choquet,0.8030092592592591,0.7796296296296297,0.81875,0.782175925925926,0.782175925925926,0.7861111111111112,0.8284722222222223,0.8437499999999998,0.7574074074074074,0.8518518518518519,0.7715277777777778,0.825462962962963,0.7912037037037036,0.8004629629629632,0.8594907407407408,0.8557870370370371,0.8624999999999998
CFminmin,0.7745370370370371,0.7534722222222223,0.804861111111111,0.7627314814814814,0.7627314814814814,0.7599537037037037,0.8486111111111111,0.7520833333333332,0.7069444444444445,0.5537037037037036,0.7344907407407406,0.8050925925925926,0.775,0.7689814814814816,0.8069444444444445,0.8634259259259259,0.8203703703703704
Sugeno,0.7745370370370371,0.7534722222222223,0.804861111111111,0.7627314814814814,0.7627314814814814,0.7599537037037037,0.8486111111111111,0.7520833333333332,0.7069444444444445,0.5537037037037036,0.7344907407407406,0.8050925925925926,0.775,0.7689814814814816,0.8069444444444445,0.8634259259259259,0.8203703703703704
Hamacher Sugeno,0.8243055555555555,0.7828703703703705,0.8206018518518519,0.7752314814814815,0.7752314814814815,0.7930555555555556,0.8421296296296298,0.7851851851851853,0.7006944444444445,0.8599537037037038,0.7534722222222221,0.8203703703703704,0.8085648148148149,0.8157407407407409,0.8377314814814815,0.8604166666666666,0.8354166666666666
F-Sugeno,0.812037037037037,0.781712962962963,0.826851851851852,0.7861111111111111,0.7861111111111111,0.7914351851851854,0.8337962962962964,0.8548611111111113,0.7379629629629629,0.8543981481481483,0.7648148148148148,0.8331018518518519,0.7979166666666667,0.8069444444444445,0.8597222222222223,0.8585648148148147,0.8685185185185185
Min,0.8277777777777778,0.7849537037037038,0.843287037037037,0.7796296296296297,0.7796296296296297,0.8108796296296296,0.8465277777777779,0.8569444444444443,0.7006944444444445,0.8599537037037038,0.7534722222222221,0.8402777777777779,0.8180555555555558,0.8143518518518519,0.8604166666666666,0.8604166666666666,0.8597222222222222
Max,0.8277777777777778,0.7849537037037038,0.7743055555555556,0.7238425925925926,0.7238425925925926,0.7083333333333333,0.7488425925925926,0.7006944444444445,0.8569444444444443,0.8006944444444443,0.8333333333333334,0.7391203703703703,0.781712962962963,0.8122685185185186,0.8034722222222224,0.8034722222222224,0.7761574074074075
CF12,0.7750000000000001,0.7594907407407407,0.8215277777777779,0.7631944444444445,0.7631944444444445,0.7865740740740741,0.20393518518518516,0.8650462962962964,0.7324074074074074,0.15925925925925927,0.7787037037037037,0.8273148148148148,0.7773148148148148,0.7622685185185185,0.8543981481481481,0.3884259259259259,0.8578703703703703
OWA1,0.7905092592592593,0.7724537037037037,0.7592592592592592,0.7298611111111112,0.7298611111111112,0.7208333333333334,0.7456018518518518,0.7203703703703702,0.8344907407407407,0.7773148148148149,0.8094907407407408,0.7423611111111111,0.7701388888888888,0.7835648148148148,0.7731481481481481,0.7699074074074075,0.7592592592592593
OWA2,0.8030092592592591,0.7796296296296297,0.8245370370370371,0.7856481481481482,0.7856481481481482,0.7918981481481483,0.8331018518518519,0.8481481481481483,0.718287037037037,0.8530092592592593,0.7481481481481482,0.8333333333333333,0.7960648148148148,0.7979166666666667,0.8597222222222223,0.8599537037037036,0.867361111111111
OWA3,0.7650462962962964,0.7516203703703703,0.7775462962962963,0.7497685185185184,0.7497685185185184,0.7620370370370371,0.7851851851851852,0.7967592592592592,0.7668981481481482,0.7960648148148148,0.766898148148148,0.7810185185185186,0.7599537037037037,0.7722222222222223,0.7842592592592592,0.7861111111111112,0.7974537037037037
CF,0.7930555555555556,0.7752314814814815,0.7826388888888889,0.7495370370370369,0.7495370370370369,0.7444444444444445,0.8125,0.7997685185185185,0.7907407407407409,0.8456018518518519,0.7965277777777777,0.7840277777777778,0.7750000000000001,0.782638888888889,0.837037037037037,0.8458333333333334,0.84375
GM,0.8039351851851851,0.7789351851851852,0.8152777777777779,0.7712962962962963,0.7712962962962963,0.7740740740740739,0.8217592592592592,0.8574074074074074,0.7923611111111113,0.8502314814814815,0.7916666666666666,0.8189814814814815,0.7877314814814815,0.7969907407407407,0.8537037037037039,0.8548611111111111,0.8557870370370371
SO,0.8039351851851851,0.7789351851851852,0.8152777777777779,0.7712962962962963,0.7712962962962963,0.7740740740740739,0.7643518518518518,0.8574074074074074,0.7923611111111113,0.14976851851851852,0.7916666666666666,0.8189814814814815,0.7877314814814815,0.7969907407407407,0.8537037037037039,0.8548611111111111,0.8557870370370371
HM,0.8064814814814815,0.7814814814814816,0.819675925925926,0.7729166666666666,0.7729166666666666,0.7828703703703704,0.8321759259259262,0.8597222222222223,0.7805555555555556,0.8486111111111111,0.787962962962963,0.8280092592592594,0.7895833333333332,0.798148148148148,0.8518518518518517,0.851388888888889,0.8601851851851852
