,Mean,Median,Choquet,CFminmin,Sugeno,Hamacher Sugeno,F-Sugeno,Min,Max,CF12,OWA1,OWA2,OWA3,CF,GM,SO,HM
Mean,0.813425925925926,0.7636574074074074,0.813425925925926,0.775462962962963,0.775462962962963,0.7856481481481481,0.8136574074074074,0.825925925925926,0.825925925925926,0.8386574074074072,0.7965277777777777,0.5,0.825925925925926,0.8041666666666668,0.8516203703703704,0.8624999999999998,0.8511574074074074
Median,0.7745370370370371,0.7252314814814815,0.7791666666666667,0.7439814814814814,0.7442129629629629,0.7805555555555554,0.7835648148148148,0.7793981481481482,0.7793981481481482,0.7773148148148148,0.7657407407407407,0.5,0.7793981481481482,0.7719907407407407,0.7787037037037037,0.7798611111111111,0.7810185185185186
Choquet,0.813425925925926,0.7636574074074074,0.825462962962963,0.7824074074074073,0.7824074074074073,0.7986111111111112,0.8310185185185185,0.8425925925925926,0.7842592592592593,0.8462962962962962,0.8083333333333332,0.5,0.8425925925925926,0.8069444444444445,0.8650462962962961,0.8675925925925926,0.867361111111111
CFminmin,0.7953703703703704,0.7465277777777778,0.8106481481481482,0.7550925925925926,0.7550925925925926,0.7828703703703704,0.8444444444444444,0.7805555555555557,0.7347222222222223,0.5726851851851852,0.7907407407407406,0.5,0.7444444444444445,0.7895833333333333,0.8226851851851851,0.8729166666666665,0.8229166666666666
Sugeno,0.7953703703703704,0.7465277777777778,0.8106481481481482,0.7550925925925926,0.7550925925925926,0.7828703703703704,0.8444444444444444,0.7805555555555557,0.7347222222222223,0.5726851851851852,0.7907407407407406,0.5,0.74375,0.7895833333333333,0.8226851851851851,0.8729166666666665,0.8229166666666666
Hamacher Sugeno,0.819212962962963,0.7662037037037038,0.830787037037037,0.7733796296296297,0.7733796296296297,0.8023148148148147,0.8449074074074074,0.8027777777777778,0.7354166666666666,0.8564814814814813,0.8090277777777779,0.5,0.7842592592592592,0.8136574074074074,0.8486111111111111,0.8726851851851851,0.843287037037037
F-Sugeno,0.8122685185185186,0.763425925925926,0.8317129629629628,0.7840277777777777,0.7840277777777777,0.8020833333333333,0.8342592592592591,0.8539351851851851,0.7706018518518518,0.849537037037037,0.8104166666666668,0.5,0.8539351851851851,0.8087962962962963,0.8668981481481481,0.867824074074074,0.8706018518518517
Min,0.819212962962963,0.7652777777777778,0.8331018518518517,0.7724537037037037,0.7724537037037037,0.7997685185185185,0.844212962962963,0.8708333333333332,0.7354166666666666,0.8564814814814813,0.8168981481481483,0.5,0.8708333333333332,0.8141203703703704,0.8685185185185185,0.8685185185185185,0.8689814814814815
Max,0.819212962962963,0.7652777777777778,0.782638888888889,0.7391203703703704,0.7391203703703704,0.7418981481481481,0.7666666666666667,0.7354166666666666,0.8708333333333332,0.7914351851851851,0.7629629629629631,0.5,0.7354166666666666,0.8046296296296296,0.8002314814814815,0.8002314814814815,0.7886574074074074
CF12,0.8,0.7469907407407408,0.8219907407407409,0.7719907407407407,0.7719907407407407,0.7981481481481482,0.19375,0.861574074074074,0.7099537037037036,0.1587962962962963,0.8030092592592594,0.5,0.861574074074074,0.7861111111111112,0.862037037037037,0.4534722222222222,0.8666666666666665
OWA1,0.7976851851851852,0.7425925925925927,0.8050925925925926,0.7652777777777778,0.7652777777777778,0.7916666666666666,0.805324074074074,0.8196759259259258,0.7724537037037037,0.8162037037037037,0.787962962962963,0.5,0.8196759259259258,0.7907407407407406,0.8131944444444444,0.8136574074074074,0.820138888888889
OWA2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
OWA3,0.819212962962963,0.7652777777777778,0.8331018518518517,0.7724537037037037,0.7724537037037037,0.7997685185185185,0.844212962962963,0.8708333333333332,0.7354166666666666,0.8564814814814813,0.8168981481481483,0.5,0.8708333333333332,0.8141203703703704,0.8685185185185185,0.8685185185185185,0.8689814814814815
CF,0.8108796296296296,0.7625000000000001,0.7979166666666666,0.7650462962962964,0.7650462962962964,0.7706018518518518,0.818287037037037,0.8159722222222221,0.8055555555555554,0.8423611111111109,0.7912037037037036,0.5,0.7863425925925925,0.7983796296296296,0.8416666666666668,0.8592592592592592,0.844675925925926
GM,0.813425925925926,0.7636574074074074,0.8157407407407409,0.7752314814814815,0.7752314814814815,0.7905092592592593,0.8217592592592593,0.869212962962963,0.8145833333333332,0.8439814814814813,0.8011574074074075,0.5,0.869212962962963,0.806712962962963,0.8594907407407406,0.8629629629629629,0.8689814814814815
SO,0.813425925925926,0.7636574074074074,0.8157407407407409,0.7752314814814815,0.7752314814814815,0.7905092592592593,0.7625,0.869212962962963,0.8145833333333332,0.1560185185185185,0.8011574074074075,0.5,0.869212962962963,0.806712962962963,0.8594907407407406,0.8629629629629629,0.8689814814814815
HM,0.8108796296296296,0.7650462962962964,0.8217592592592593,0.7766203703703705,0.7766203703703705,0.7912037037037036,0.8277777777777778,0.8685185185185185,0.8027777777777778,0.8421296296296295,0.804861111111111,0.5,0.8685185185185185,0.8076388888888889,0.8662037037037036,0.8648148148148149,0.868287037037037
