,Mean,Median,Choquet,CFminmin,Sugeno,Hamacher Sugeno,F-Sugeno,Min,Max,CF12,OWA1,OWA2,OWA3,CF,GM,SO,HM
Mean,0.7932870370370371,0.7534722222222222,0.7932870370370371,0.764351851851852,0.764351851851852,0.7717592592592594,0.7946759259259258,0.8002314814814815,0.8002314814814815,0.8208333333333332,0.7842592592592592,0.5,0.8002314814814815,0.787037037037037,0.8219907407407406,0.836111111111111,0.8245370370370371
Median,0.7453703703703705,0.720138888888889,0.7430555555555556,0.7164351851851852,0.7164351851851852,0.7398148148148149,0.7460648148148148,0.7483796296296297,0.7483796296296297,0.7377314814814814,0.7314814814814815,0.5,0.7483796296296297,0.7407407407407407,0.7414351851851853,0.7414351851851853,0.7437499999999999
Choquet,0.7932870370370371,0.7534722222222222,0.812037037037037,0.7608796296296295,0.7608796296296295,0.7833333333333332,0.8141203703703702,0.8229166666666666,0.7645833333333333,0.8331018518518517,0.7979166666666666,0.5,0.8229166666666666,0.7909722222222222,0.837037037037037,0.8386574074074072,0.8423611111111111
CFminmin,0.7706018518518518,0.736574074074074,0.7821759259259259,0.7465277777777779,0.7467592592592592,0.7564814814814815,0.8219907407407409,0.7513888888888888,0.7199074074074074,0.5888888888888889,0.7722222222222221,0.5,0.7293981481481482,0.7652777777777777,0.7912037037037037,0.8444444444444447,0.7828703703703703
Sugeno,0.7706018518518518,0.736574074074074,0.7821759259259259,0.7465277777777779,0.7467592592592592,0.7564814814814815,0.8219907407407409,0.7513888888888888,0.7199074074074074,0.5888888888888889,0.7722222222222221,0.5,0.7284722222222223,0.7652777777777777,0.7912037037037037,0.8444444444444447,0.7828703703703703
Hamacher Sugeno,0.804861111111111,0.7499999999999999,0.8087962962962962,0.7581018518518519,0.7581018518518519,0.7837962962962963,0.8261574074074074,0.7842592592592592,0.7275462962962963,0.8444444444444444,0.7909722222222222,0.5,0.7604166666666665,0.8037037037037036,0.8206018518518517,0.8506944444444444,0.8034722222222224
F-Sugeno,0.7988425925925926,0.7564814814814815,0.8162037037037037,0.7620370370370371,0.7620370370370371,0.7893518518518517,0.8226851851851851,0.8328703703703704,0.7518518518518518,0.8344907407407407,0.8016203703703704,0.5,0.8328703703703704,0.798148148148148,0.842824074074074,0.8412037037037037,0.8460648148148147
Min,0.8090277777777779,0.7472222222222221,0.825462962962963,0.75625,0.75625,0.7840277777777779,0.8314814814814813,0.8372685185185185,0.7268518518518519,0.8444444444444444,0.8041666666666666,0.5,0.8372685185185185,0.805324074074074,0.8437500000000002,0.8437500000000002,0.8428240740740742
Max,0.8090277777777779,0.7472222222222221,0.7641203703703704,0.7284722222222223,0.7284722222222223,0.7287037037037037,0.7460648148148148,0.7268518518518519,0.8372685185185185,0.7763888888888888,0.7506944444444444,0.5,0.7268518518518519,0.787037037037037,0.7914351851851852,0.7914351851851852,0.7722222222222224
CF12,0.7766203703703702,0.7451388888888888,0.8111111111111111,0.755787037037037,0.755787037037037,0.7833333333333334,0.21527777777777776,0.8444444444444444,0.7321759259259258,0.1800925925925926,0.8041666666666666,0.5,0.8444444444444444,0.7539351851851852,0.836111111111111,0.35810185185185184,0.8534722222222222
OWA1,0.7712962962962963,0.7347222222222222,0.7796296296296296,0.7488425925925927,0.7488425925925927,0.775462962962963,0.7849537037037038,0.7865740740740741,0.7550925925925924,0.7807870370370371,0.7634259259259258,0.5,0.7865740740740741,0.7625,0.7798611111111111,0.7824074074074073,0.7826388888888889
OWA2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
OWA3,0.8090277777777779,0.7472222222222221,0.825462962962963,0.75625,0.75625,0.7840277777777779,0.8314814814814813,0.8372685185185185,0.7268518518518519,0.8444444444444444,0.8041666666666666,0.5,0.8372685185185185,0.805324074074074,0.8437500000000002,0.8437500000000002,0.8428240740740742
CF,0.7861111111111112,0.7502314814814816,0.7756944444444445,0.7500000000000001,0.7500000000000001,0.75,0.8076388888888889,0.7946759259259261,0.7868055555555556,0.8305555555555555,0.7736111111111112,0.5,0.7685185185185184,0.7761574074074075,0.8203703703703704,0.8347222222222224,0.8243055555555555
GM,0.7939814814814815,0.7534722222222222,0.8060185185185185,0.7666666666666665,0.7666666666666665,0.7747685185185186,0.8131944444444444,0.8402777777777779,0.7930555555555554,0.8270833333333334,0.7916666666666666,0.5,0.8402777777777779,0.7895833333333332,0.829398148148148,0.8354166666666666,0.837962962962963
SO,0.7939814814814815,0.7534722222222222,0.8060185185185185,0.7666666666666665,0.7666666666666665,0.7747685185185186,0.7280092592592592,0.8402777777777779,0.7930555555555554,0.17291666666666666,0.7916666666666666,0.5,0.8402777777777779,0.7895833333333332,0.829398148148148,0.8354166666666666,0.837962962962963
HM,0.795138888888889,0.7543981481481481,0.8106481481481481,0.7611111111111112,0.7611111111111112,0.7807870370370371,0.8229166666666666,0.8388888888888888,0.7833333333333334,0.8305555555555555,0.8006944444444445,0.5,0.8388888888888888,0.7907407407407407,0.8377314814814815,0.837962962962963,0.8423611111111111
