,Mean,Median,Choquet,CFminmin,Sugeno,Hamacher Sugeno,F-Sugeno,Min,Max,CF12,OWA1,OWA2,OWA3,CF,GM,SO,HM
Mean,0.8145833333333334,0.7854166666666668,0.8145833333333334,0.7858796296296297,0.7858796296296297,0.7923611111111112,0.8199074074074074,0.8266203703703704,0.8266203703703704,0.8412037037037038,0.805787037037037,0.5,0.8266203703703704,0.8104166666666668,0.8416666666666666,0.8587962962962962,0.8465277777777779
Median,0.7819444444444446,0.7560185185185186,0.7893518518518519,0.763888888888889,0.7645833333333334,0.780324074074074,0.787962962962963,0.7793981481481482,0.7793981481481482,0.7833333333333334,0.7773148148148148,0.5,0.7793981481481482,0.7851851851851852,0.7798611111111111,0.7798611111111111,0.787037037037037
Choquet,0.8145833333333334,0.7854166666666668,0.83125,0.7956018518518518,0.7956018518518518,0.8074074074074072,0.8349537037037038,0.8425925925925926,0.7840277777777779,0.8465277777777779,0.825462962962963,0.5,0.8425925925925926,0.8136574074074074,0.8537037037037036,0.8652777777777777,0.8583333333333332
CFminmin,0.8032407407407407,0.7766203703703703,0.8136574074074072,0.7805555555555557,0.7807870370370371,0.7877314814814815,0.8395833333333333,0.782175925925926,0.742824074074074,0.5803240740740742,0.8145833333333334,0.5,0.7511574074074074,0.7983796296296296,0.8111111111111111,0.8631944444444445,0.8136574074074072
Sugeno,0.8032407407407407,0.7766203703703703,0.8136574074074072,0.7805555555555557,0.7807870370370371,0.7877314814814815,0.8395833333333333,0.782175925925926,0.742824074074074,0.5803240740740742,0.8145833333333334,0.5,0.7506944444444444,0.7983796296296296,0.8111111111111111,0.8631944444444445,0.8136574074074072
Hamacher Sugeno,0.8231481481481481,0.7905092592592593,0.8247685185185185,0.7928240740740742,0.7928240740740742,0.8148148148148149,0.8425925925925926,0.8020833333333334,0.7594907407407407,0.8513888888888888,0.8206018518518519,0.5,0.786574074074074,0.826388888888889,0.8324074074074075,0.8652777777777778,0.8277777777777778
F-Sugeno,0.8194444444444444,0.788888888888889,0.8372685185185185,0.8002314814814813,0.8002314814814813,0.8143518518518519,0.8421296296296298,0.8511574074074073,0.7703703703703704,0.8488425925925925,0.8314814814814815,0.5,0.8511574074074073,0.8171296296296295,0.8601851851851852,0.867824074074074,0.8638888888888889
Min,0.8243055555555555,0.7921296296296296,0.8402777777777779,0.7916666666666666,0.7916666666666666,0.8173611111111111,0.8460648148148147,0.8643518518518517,0.7594907407407407,0.8513888888888888,0.8333333333333333,0.5,0.8643518518518517,0.8261574074074073,0.8668981481481481,0.8668981481481481,0.8629629629629629
Max,0.8243055555555555,0.7921296296296296,0.7773148148148149,0.7523148148148149,0.7523148148148149,0.7543981481481481,0.7631944444444444,0.7594907407407407,0.8643518518518517,0.8004629629629629,0.7694444444444444,0.5,0.7594907407407407,0.8178240740740741,0.8060185185185185,0.8060185185185185,0.780324074074074
CF12,0.8055555555555556,0.7791666666666667,0.8289351851851852,0.7918981481481481,0.7918981481481481,0.8050925925925924,0.18495370370370373,0.8625,0.6789351851851851,0.15856481481481483,0.8245370370370371,0.5,0.8625,0.7967592592592593,0.85625,0.42777777777777787,0.8668981481481481
OWA1,0.8023148148148149,0.7745370370370369,0.8097222222222221,0.7856481481481482,0.7856481481481482,0.7993055555555555,0.8108796296296296,0.8226851851851853,0.7787037037037037,0.8166666666666667,0.8037037037037036,0.5,0.8226851851851853,0.7979166666666666,0.8060185185185184,0.8069444444444442,0.8150462962962962
OWA2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
OWA3,0.8243055555555555,0.7921296296296296,0.8402777777777779,0.7916666666666666,0.7916666666666666,0.8173611111111111,0.8460648148148147,0.8643518518518517,0.7594907407407407,0.8513888888888888,0.8333333333333333,0.5,0.8643518518518517,0.8261574074074073,0.8668981481481481,0.8668981481481481,0.8629629629629629
CF,0.8118055555555557,0.7805555555555557,0.8106481481481482,0.774074074074074,0.774074074074074,0.7805555555555556,0.8266203703703704,0.8189814814814815,0.806712962962963,0.8474537037037037,0.7956018518518517,0.5,0.7863425925925925,0.8060185185185185,0.8351851851851853,0.8541666666666666,0.843287037037037
GM,0.8157407407407409,0.7849537037037038,0.8236111111111111,0.7905092592592593,0.7905092592592593,0.7969907407407407,0.8287037037037036,0.8729166666666666,0.8178240740740741,0.8421296296296298,0.8159722222222223,0.5,0.8729166666666666,0.8122685185185186,0.862037037037037,0.861574074074074,0.8715277777777779
SO,0.8157407407407409,0.7849537037037038,0.8236111111111111,0.7905092592592593,0.7905092592592593,0.7969907407407407,0.7997685185185185,0.8729166666666666,0.8178240740740741,0.15787037037037036,0.8159722222222223,0.5,0.8729166666666666,0.8122685185185186,0.862037037037037,0.861574074074074,0.8715277777777779
HM,0.8162037037037038,0.7870370370370372,0.8296296296296296,0.7925925925925926,0.7925925925925926,0.7993055555555556,0.8407407407407407,0.868287037037037,0.80625,0.8439814814814814,0.8280092592592592,0.5,0.868287037037037,0.8125,0.8650462962962961,0.8645833333333333,0.8636574074074075
