,Mean,Median,Choquet,CFminmin,Sugeno,Hamacher Sugeno,F-Sugeno,Min,Max,CF12,OWA1,OWA2,OWA3,CF,GM,SO,HM
Mean,0.7752314814814815,0.7291666666666666,0.7752314814814815,0.7187499999999999,0.7187499999999999,0.7409722222222221,0.7796296296296296,0.7851851851851851,0.7851851851851851,0.8064814814814815,0.763888888888889,0.5,0.7851851851851851,0.768287037037037,0.8127314814814814,0.8349537037037038,0.8166666666666667
Median,0.7118055555555556,0.6828703703703705,0.7196759259259259,0.6925925925925926,0.6923611111111112,0.7083333333333334,0.7210648148148149,0.720601851851852,0.720601851851852,0.7122685185185185,0.7004629629629628,0.5,0.720601851851852,0.7115740740740741,0.7164351851851851,0.7157407407407408,0.7189814814814814
Choquet,0.7752314814814815,0.7291666666666666,0.7951388888888888,0.7414351851851853,0.7414351851851853,0.7594907407407407,0.795601851851852,0.8141203703703704,0.7462962962962963,0.8208333333333332,0.7824074074074073,0.5,0.8141203703703704,0.7703703703703704,0.836574074074074,0.8418981481481481,0.8377314814814815
CFminmin,0.7530092592592593,0.7076388888888888,0.78125,0.6974537037037037,0.6988425925925926,0.7372685185185185,0.8173611111111112,0.7252314814814814,0.6986111111111111,0.5305555555555556,0.7462962962962963,0.5,0.7099537037037037,0.7425925925925927,0.7719907407407407,0.8523148148148149,0.7805555555555557
Sugeno,0.7530092592592593,0.7076388888888888,0.78125,0.6974537037037037,0.6988425925925926,0.7372685185185185,0.8173611111111112,0.7252314814814814,0.6986111111111111,0.5305555555555556,0.7462962962962963,0.5,0.7087962962962963,0.7425925925925927,0.7719907407407407,0.8523148148148149,0.7800925925925927
Hamacher Sugeno,0.7863425925925925,0.7395833333333333,0.7928240740740741,0.7381944444444444,0.7381944444444444,0.7671296296296296,0.8145833333333334,0.749537037037037,0.6710648148148148,0.8333333333333334,0.768287037037037,0.5,0.7328703703703705,0.7844907407407407,0.812037037037037,0.8516203703703704,0.795601851851852
F-Sugeno,0.7773148148148149,0.7354166666666666,0.795138888888889,0.7453703703703703,0.7453703703703703,0.7671296296296296,0.8034722222222221,0.8247685185185185,0.7293981481481481,0.8252314814814815,0.7918981481481481,0.5,0.8247685185185185,0.7717592592592593,0.842824074074074,0.8439814814814814,0.8437499999999998
Min,0.7953703703703703,0.7476851851851852,0.812037037037037,0.7444444444444446,0.7444444444444446,0.7770833333333335,0.8185185185185186,0.8513888888888891,0.6710648148148148,0.8333333333333334,0.7993055555555555,0.5,0.8513888888888891,0.792361111111111,0.8481481481481483,0.8481481481481483,0.8500000000000002
Max,0.7953703703703703,0.7476851851851852,0.7407407407407407,0.6921296296296298,0.6914351851851853,0.6766203703703704,0.7131944444444445,0.6710648148148148,0.8513888888888891,0.7631944444444445,0.7124999999999999,0.5,0.6710648148148148,0.7750000000000001,0.7798611111111111,0.7798611111111111,0.7548611111111111
CF12,0.7481481481481482,0.7094907407407408,0.7935185185185184,0.7222222222222222,0.7222222222222222,0.7620370370370371,0.2321759259259259,0.8372685185185185,0.7381944444444444,0.19375,0.7789351851851853,0.5,0.8372685185185185,0.73125,0.8321759259259259,0.3766203703703703,0.8497685185185185
OWA1,0.745601851851852,0.7085648148148149,0.7650462962962963,0.6965277777777777,0.6965277777777777,0.7414351851851853,0.7694444444444445,0.7726851851851851,0.7293981481481482,0.7701388888888888,0.7474537037037037,0.5,0.7726851851851851,0.7349537037037037,0.7666666666666666,0.7655092592592592,0.7726851851851853
OWA2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
OWA3,0.7953703703703703,0.7476851851851852,0.812037037037037,0.7444444444444446,0.7444444444444446,0.7770833333333335,0.8185185185185186,0.8513888888888891,0.6710648148148148,0.8333333333333334,0.7993055555555555,0.5,0.8513888888888891,0.792361111111111,0.8481481481481483,0.8481481481481483,0.8500000000000002
CF,0.763888888888889,0.7203703703703704,0.7560185185185184,0.7018518518518518,0.7018518518518518,0.7226851851851852,0.7863425925925925,0.7810185185185184,0.7571759259259259,0.8171296296296295,0.7388888888888889,0.5,0.7518518518518519,0.755787037037037,0.8039351851851851,0.8291666666666668,0.8145833333333334
GM,0.7763888888888889,0.731712962962963,0.788888888888889,0.7243055555555555,0.7243055555555555,0.7439814814814815,0.794212962962963,0.8444444444444444,0.7736111111111112,0.8127314814814814,0.7782407407407408,0.5,0.8444444444444444,0.7715277777777778,0.8333333333333334,0.837962962962963,0.8462962962962962
SO,0.7763888888888889,0.731712962962963,0.788888888888889,0.7243055555555555,0.7243055555555555,0.7439814814814815,0.6740740740740742,0.8444444444444444,0.7736111111111112,0.18726851851851853,0.7782407407407408,0.5,0.8444444444444444,0.7715277777777778,0.8333333333333334,0.837962962962963,0.8462962962962962
HM,0.7770833333333333,0.7340277777777777,0.7946759259259258,0.7310185185185183,0.7310185185185183,0.7604166666666667,0.8037037037037036,0.8511574074074074,0.7622685185185185,0.8162037037037038,0.7854166666666667,0.5,0.8511574074074074,0.7729166666666667,0.8400462962962963,0.8400462962962963,0.850462962962963
