,Mean,Median,Choquet,CFminmin,Sugeno,Hamacher Sugeno,F-Sugeno,Min,Max,CF12,OWA1,OWA2,OWA3,CF,GM,SO,HM
Mean,0.8266203703703703,0.7962962962962963,0.8266203703703703,0.7972222222222223,0.7972222222222223,0.8046296296296296,0.8263888888888887,0.8321759259259259,0.8321759259259259,0.8474537037037037,0.8222222222222222,0.8266203703703703,0.8108796296296296,0.8222222222222222,0.8504629629629628,0.8666666666666666,0.8506944444444444
Median,0.7715277777777778,0.7386574074074075,0.7791666666666666,0.7518518518518519,0.7516203703703704,0.7708333333333333,0.78125,0.7803240740740741,0.7803240740740741,0.7726851851851853,0.7685185185185186,0.7768518518518518,0.7576388888888889,0.7719907407407407,0.7761574074074075,0.7761574074074075,0.782175925925926
Choquet,0.8266203703703703,0.7962962962962963,0.8388888888888889,0.8092592592592591,0.8092592592592591,0.825462962962963,0.8435185185185186,0.8534722222222223,0.7907407407407409,0.8599537037037036,0.788425925925926,0.8460648148148149,0.8215277777777779,0.8240740740740738,0.8634259259259258,0.8777777777777779,0.8638888888888889
CFminmin,0.8060185185185185,0.7692129629629629,0.8224537037037036,0.7780092592592592,0.7780092592592592,0.7898148148148149,0.8601851851851852,0.7861111111111111,0.7453703703703705,0.5928240740740741,0.7534722222222223,0.8159722222222223,0.8037037037037036,0.7995370370370372,0.829398148148148,0.8784722222222221,0.826388888888889
Sugeno,0.8060185185185185,0.7692129629629629,0.8224537037037036,0.7780092592592592,0.7780092592592592,0.7898148148148149,0.8601851851851852,0.7861111111111111,0.7453703703703705,0.5928240740740741,0.7534722222222223,0.8159722222222223,0.8037037037037036,0.7995370370370372,0.8296296296296296,0.8784722222222221,0.826388888888889
Hamacher Sugeno,0.8356481481481481,0.8131944444444444,0.84375,0.8113425925925926,0.8113425925925926,0.8277777777777777,0.861574074074074,0.818287037037037,0.7268518518518519,0.8773148148148149,0.7587962962962963,0.8368055555555556,0.8356481481481481,0.8351851851851853,0.8476851851851851,0.881712962962963,0.8423611111111111
F-Sugeno,0.8291666666666666,0.7995370370370372,0.8465277777777777,0.8152777777777779,0.8152777777777779,0.8331018518518517,0.851388888888889,0.861574074074074,0.7715277777777778,0.8652777777777778,0.7831018518518518,0.8511574074074074,0.8287037037037036,0.825,0.8719907407407408,0.8791666666666667,0.8722222222222223
Min,0.8456018518518518,0.8166666666666667,0.867361111111111,0.8180555555555555,0.8180555555555555,0.8372685185185185,0.8689814814814815,0.8759259259259258,0.7268518518518519,0.8773148148148149,0.7585648148148147,0.8664351851851851,0.8421296296296296,0.8363425925925927,0.8761574074074072,0.8761574074074072,0.875462962962963
Max,0.8456018518518518,0.8166666666666667,0.8006944444444445,0.7520833333333333,0.7520833333333333,0.7337962962962963,0.7731481481481481,0.7268518518518519,0.8759259259259258,0.813425925925926,0.8597222222222222,0.7511574074074074,0.811574074074074,0.8391203703703705,0.8240740740740742,0.8240740740740742,0.8018518518518519
CF12,0.8152777777777779,0.773611111111111,0.8393518518518517,0.7979166666666667,0.7979166666666667,0.825,0.1875,0.8694444444444445,0.7363425925925926,0.1523148148148148,0.8076388888888889,0.8483796296296295,0.8085648148148149,0.7976851851851852,0.8668981481481481,0.41527777777777775,0.875925925925926
OWA1,0.8178240740740741,0.7844907407407407,0.7840277777777778,0.7458333333333333,0.7458333333333333,0.7608796296296296,0.7731481481481481,0.7678240740740742,0.8511574074074074,0.7986111111111112,0.8423611111111111,0.7641203703703704,0.7900462962962963,0.8106481481481481,0.8039351851851851,0.8013888888888889,0.7893518518518519
OWA2,0.8266203703703703,0.7962962962962963,0.8444444444444444,0.8178240740740741,0.8178240740740741,0.8354166666666666,0.85,0.8569444444444445,0.7599537037037039,0.8606481481481483,0.7655092592592593,0.8488425925925925,0.8291666666666666,0.8226851851851851,0.8685185185185185,0.8780092592592593,0.8648148148148147
OWA3,0.7972222222222223,0.7629629629629628,0.805787037037037,0.7717592592592591,0.7717592592592591,0.7967592592592593,0.811574074074074,0.8148148148148149,0.7997685185185185,0.8152777777777779,0.7914351851851852,0.8094907407407408,0.7868055555555555,0.7949074074074074,0.8113425925925923,0.8125,0.8164351851851853
CF,0.8175925925925925,0.7872685185185185,0.8152777777777777,0.774074074074074,0.774074074074074,0.7817129629629629,0.8324074074074073,0.81875,0.8245370370370371,0.8604166666666668,0.819675925925926,0.812962962962963,0.8002314814814815,0.8178240740740741,0.843287037037037,0.8638888888888889,0.8493055555555555
GM,0.8275462962962962,0.7960648148148148,0.8312499999999998,0.7993055555555555,0.7993055555555555,0.811574074074074,0.8377314814814815,0.8763888888888889,0.8240740740740738,0.8518518518518519,0.8199074074074074,0.8405092592592591,0.8138888888888889,0.8236111111111111,0.8657407407407408,0.8715277777777779,0.8736111111111111
SO,0.8275462962962962,0.7960648148148148,0.8312499999999998,0.7993055555555555,0.7993055555555555,0.811574074074074,0.7997685185185186,0.8763888888888889,0.8240740740740738,0.14814814814814814,0.8199074074074074,0.8405092592592591,0.8138888888888889,0.8236111111111111,0.8657407407407408,0.8715277777777779,0.8736111111111111
HM,0.8277777777777777,0.7967592592592593,0.8425925925925926,0.8055555555555556,0.8055555555555556,0.8189814814814815,0.851388888888889,0.8761574074074074,0.8092592592592593,0.8578703703703704,0.8113425925925926,0.851388888888889,0.8178240740740741,0.8224537037037036,0.8768518518518519,0.8752314814814814,0.8726851851851851
